x 0 1 2 3 4 5 6 7 
0 48860818 43223771 32284811 1023976 45554172 48857531 41728443 4616745 
1 4272723 9067745 15577500 3785704 7176220 4278420 10233745 11260225 
2 190374 965034 4321212 7247666 568334 188192 1258373 13774643 
3 5927 69390 931734 9560878 29999 5725 102934 11257056 
4 154 3866 176391 9736045 1229 131 6208 6913988 
5 4 185 31521 8168407 44 1 280 3403210 
6 0 9 5554 5881360 2 0 15 1399769 
7 0 0 1058 3734704 0 0 2 494264 
8 0 0 166 2133759 0 0 0 153927 
9 0 0 46 1113331 0 0 0 42449 
10 0 0 6 536458 0 0 0 10742 
11 0 0 1 240432 0 0 0 2354 
12 0 0 0 102174 0 0 0 523 
13 0 0 0 40878 0 0 0 87 
14 0 0 0 15616 0 0 0 16 
15 0 0 0 5658 0 0 0 2 
16 0 0 0 1914 0 0 0 0 
17 0 0 0 715 0 0 0 0 
18 0 0 0 227 0 0 0 0 
19 0 0 0 66 0 0 0 0 
20 0 0 0 24 0 0 0 0 
21 0 0 0 7 0 0 0 0 
22 0 0 0 0 0 0 0 0 
23 0 0 0 0 0 0 0 0 
24 0 0 0 0 0 0 0 0 
25 0 0 0 0 0 0 0 0 
26 0 0 0 1 0 0 0 0 
