x 0 1 2 3 4 5 6 7 
0 1221 3026 7827 62377 2275 1211 3625 35713 
1 10666 25662 64563 520379 19535 10790 29948 300010 
2 12424 30038 75254 605622 22868 12623 34864 352010 
3 22353 53216 133281 1077547 40519 22477 62847 626959 
4 68272 163718 409302 3304704 123841 68480 192277 1921416 
5 177319 427076 1063373 8573896 319925 177427 497303 4974756 
6 221034 532308 1321905 10682995 398609 221892 621260 6200746 
7 160589 382920 954519 7711691 287142 160387 447285 4479852 
8 76929 185908 459798 3713482 138416 76779 215696 2156846 
9 27547 65634 164093 1321246 49177 27222 76561 767323 
10 7729 19057 47296 378030 14138 7721 21756 218980 
11 2008 4726 11770 94079 3569 1905 5501 54458 
12 439 1055 2690 21311 792 418 1231 12367 
13 86 228 531 4445 166 95 241 2560 
14 22 43 117 934 31 19 53 522 
15 5 3 19 194 6 4 9 100 
16 0 1 5 45 3 0 4 14 
17 0 0 0 3 0 0 1 2 
18 0 1 0 0 0 0 0 0 
