x 0 1 2 3 4 5 
0 1221 0 0 0 0 0 
1 10791 7272 0 0 0 0 
2 12456 11049 4737 0 0 0 
3 22479 21775 17589 5486 0 0 
4 68609 67626 64157 47362 7971 0 
5 178598 177030 173331 157257 89433 399 
6 221698 220674 217731 206863 148090 5351 
7 160186 159843 158439 153475 121300 8149 
8 76194 76119 75696 74123 62054 5844 
9 26755 26738 26655 26286 22902 2860 
10 7327 7327 7316 7247 6509 1081 
11 1848 1848 1844 1837 1702 358 
12 389 389 388 387 366 111 
13 73 73 73 73 73 34 
14 15 15 15 15 15 9 
15 4 4 4 4 4 2 
