x 0 1 2 3 4 5 6 7 
0.000000 0.010594 0.040044 0.012893 0.005553 0.040174 0.025714 0.009380 0.009380 
10.000000 0.122702 0.427296 0.148061 0.060485 0.421398 0.283921 0.103180 0.103180 
20.000000 0.232615 0.797125 0.286117 0.116468 0.793543 0.533867 0.196980 0.196980 
30.000000 0.339502 1.161916 0.417131 0.175302 1.158897 0.785812 0.290779 0.290779 
40.000000 0.446199 1.516254 0.553816 0.233822 1.514673 1.031362 0.384579 0.384579 
50.000000 0.553993 1.884743 0.688995 0.291101 1.878311 1.287171 0.478379 0.478379 
60.000000 0.666934 2.260738 0.825475 0.346489 2.254174 1.546843 0.572179 0.572179 
70.000000 0.781387 2.659408 0.963050 0.399149 2.647621 1.808514 0.665979 0.665979 
80.000000 0.897695 3.054111 1.094822 0.453164 3.043785 2.078712 0.759779 0.759779 
90.000000 1.007873 3.430105 1.229496 0.509205 3.419362 2.341449 0.853578 0.853578 
100.000000 1.116689 3.788946 1.363147 0.567275 3.788648 2.593127 0.947378 0.947378 
110.000000 1.222554 4.152235 1.498820 0.625034 4.151143 2.848802 1.041178 1.041178 
120.000000 1.327321 4.523191 1.636238 0.681945 4.514781 3.101014 1.134978 1.134978 
130.000000 1.435683 4.878708 1.769576 0.740174 4.882709 3.362418 1.228778 1.228778 
140.000000 1.541813 5.239907 1.901842 0.798582 5.250137 3.624089 1.322578 1.322578 
150.000000 1.643403 5.612203 2.034891 0.856706 5.620924 3.872170 1.416377 1.416377 
160.000000 1.750062 5.970936 2.165279 0.916399 5.977057 4.129178 1.510177 1.510177 
170.000000 1.857705 6.349450 2.298279 0.973404 6.348273 4.384987 1.603977 1.603977 
180.000000 1.966067 6.710863 2.428234 1.032830 6.710196 4.635200 1.697777 1.697777 
190.000000 2.073824 7.064236 2.560789 1.091861 7.075264 4.888610 1.791577 1.791577 
200.000000 2.179046 7.426775 2.696366 1.149555 7.440618 5.146017 1.885377 1.885377 
210.000000 2.283813 7.788725 2.825334 1.209597 7.799468 5.400760 1.979176 1.979176 
220.000000 2.387635 8.153676 2.958671 1.267944 8.170398 5.646843 2.072976 2.072976 
230.000000 2.500008 8.514286 3.093273 1.325500 8.535609 5.900653 2.166776 2.166776 
240.000000 2.605456 8.878862 3.224552 1.384254 8.899748 6.161791 2.260576 2.260576 
250.000000 2.718699 9.269491 3.357143 1.439449 9.282830 6.421064 2.354376 2.354376 
260.000000 2.828953 9.652026 3.485713 1.497256 9.651973 6.679537 2.448176 2.448176 
270.000000 2.934402 10.020515 3.617570 1.555228 10.028908 6.929084 2.541975 2.541975 
280.000000 3.038602 10.390988 3.751642 1.613396 10.385684 7.185425 2.635775 2.635775 
290.000000 3.141667 10.757387 3.883704 1.672636 10.739029 7.442966 2.729575 2.729575 
300.000000 3.252450 11.125287 4.019268 1.729712 11.098093 7.702905 2.823375 2.823375 
310.000000 3.359980 11.490667 4.152618 1.787738 11.459444 7.964576 2.917175 2.917175 
320.000000 3.467396 11.860926 4.293046 1.843816 11.819366 8.215188 3.010975 3.010975 
330.000000 3.572845 12.227111 4.422531 1.903114 12.182290 8.470731 3.104774 3.104774 
340.000000 3.683855 12.600049 4.559035 1.959188 12.556651 8.720677 3.198574 3.198574 
350.000000 3.791839 12.964411 4.694901 2.016268 12.927796 8.972622 3.292374 3.292374 
360.000000 3.904855 13.335206 4.830646 2.072420 13.301156 9.228430 3.386174 3.386174 
370.000000 4.015941 13.703856 4.958253 2.131204 13.671586 9.483573 3.479974 3.479974 
380.000000 4.119914 14.064305 5.093096 2.189666 14.028362 9.742046 3.573774 3.573774 
390.000000 4.231871 14.449145 5.231465 2.243763 14.411015 10.001053 3.667573 3.667573 
400.000000 4.345303 14.824281 5.366103 2.299659 14.788022 10.258726 3.761373 3.761373 
410.000000 4.457183 15.199418 5.503184 2.354540 15.165886 10.533321 3.855173 3.855173 
420.000000 4.565054 15.558044 5.639520 2.411636 15.535743 10.796191 3.948973 3.948973 
430.000000 4.673680 15.932109 5.772809 2.469476 15.895665 11.045738 4.042773 4.042773 
440.000000 4.779167 16.293737 5.908313 2.527431 16.258446 11.302213 4.136573 4.136573 
450.000000 4.886129 16.654936 6.042385 2.585170 16.628447 11.563750 4.230372 4.230372 
460.000000 4.993810 17.019566 6.178371 2.642509 16.994873 11.813830 4.324172 4.324172 
470.000000 5.101832 17.381301 6.314273 2.700285 17.358941 12.057115 4.417972 4.417972 
