x 0 1 2 3 4 5 6 7 8 
0 295 0 0 0 0 1032 0 751 1665 
10 3214 86 0 0 0 11579 189 8032 18041 
20 5895 322 0 0 0 22093 629 14979 34415 
30 8458 635 0 0 0 31913 1196 21787 51367 
40 11066 897 0 0 0 42070 1847 28461 68151 
50 13682 1160 0 0 0 52357 2386 35396 84691 
60 16502 1335 0 0 0 62398 2768 42415 101490 
70 19546 1335 0 0 0 73327 2768 49914 117500 
80 22609 1357 0 0 0 83680 2806 57359 133911 
90 25360 1522 0 0 0 93843 3189 64467 150536 
100 28007 1777 0 0 0 103995 3670 71221 167395 
110 30548 2078 0 0 0 114117 4234 78064 184131 
120 33161 2294 0 0 0 124684 4751 84986 200504 
130 35760 2592 2 0 0 134503 5332 91649 217539 
140 38351 2835 2 0 0 144309 5873 98448 234623 
150 40800 3092 2 0 0 154356 6418 105483 251415 
160 43317 3408 2 0 0 164062 7050 112255 268551 
170 45978 3634 2 0 0 174260 7481 119356 285095 
180 48617 3895 3 0 0 183926 7960 126162 302508 
190 51247 4157 3 0 0 193823 8494 132846 319722 
200 53854 4402 3 0 0 203904 9026 139677 336581 
210 56364 4684 3 0 0 213543 9530 146495 354077 
220 58898 4943 3 0 0 223428 10114 153375 371050 
230 61578 5238 3 0 0 233434 10695 160156 387790 
240 64105 5520 3 0 0 243290 11185 167022 404904 
250 67005 5625 3 0 0 253535 11384 174431 421398 
260 69689 5868 3 0 0 263243 11836 181647 438254 
270 72267 6109 3 0 0 273015 12369 188568 455249 
280 74784 6366 3 0 0 283038 12879 195539 472234 
290 77233 6674 3 0 0 292750 13461 202414 489510 
300 79913 6943 3 0 0 302902 13959 209351 506248 
310 82461 7240 3 0 0 312847 14532 216222 523155 
320 85083 7501 3 0 0 323325 15135 223175 539447 
330 87642 7789 3 0 0 332993 15681 230075 556630 
340 90353 7992 3 0 0 343348 16054 237152 573246 
350 93004 8193 3 0 0 353555 16492 244028 590069 
360 95584 8467 3 0 0 363350 16974 251024 607024 
370 98235 8746 3 0 0 372926 17472 257996 624114 
380 100728 9045 3 0 0 382962 18039 264835 641042 
390 103602 9159 3 0 0 393812 18297 272071 657018 
400 106406 9359 3 0 0 404078 18589 279155 673651 
410 109266 9457 3 0 0 414568 18799 286203 690250 
420 111817 9721 3 0 0 424688 19242 292946 707250 
430 114472 9924 3 0 0 434725 19663 300008 724316 
440 116990 10226 3 0 0 444766 20263 306806 741104 
450 119579 10488 3 0 0 454710 20817 313646 757987 
460 122206 10758 3 0 0 464883 21300 320507 774752 
470 124785 11049 3 0 0 475048 21908 327313 791433 
480 127318 11320 3 0 0 484967 22396 334225 808439 
490 129946 11529 3 0 0 494828 22856 341030 825760 
500 132551 11807 3 0 0 504512 23469 347792 842905 
510 135206 12059 6 0 0 514327 23993 354815 859798 
520 137673 12363 6 0 0 524263 24531 361710 876793 
530 140261 12612 6 0 0 534202 25010 368640 893639 
540 142948 12876 6 0 0 544115 25543 375532 910561 
550 145555 13134 6 0 0 554311 26080 382277 927476 
560 148285 13368 6 0 0 564566 26519 389156 943992 
570 150813 13650 6 0 0 574679 27106 395938 960868 
580 153352 13962 8 0 0 584603 27681 402725 977815 
590 156056 14200 8 0 0 594778 28142 409625 994496 
600 158572 14472 8 0 0 604628 28735 416307 1011684 
610 161092 14732 8 0 0 614942 29205 423192 1028382 
620 163625 14992 8 0 0 624774 29758 429960 1045663 
630 166140 15282 8 0 0 634404 30291 436669 1063085 
640 168737 15546 8 0 0 644293 30797 443554 1080023 
650 171332 15809 8 0 0 654322 31278 450432 1096985 
660 174287 15914 8 0 0 665147 31495 457773 1112945 
670 176771 16209 8 0 0 674961 32039 464561 1130202 
680 179236 16488 10 0 0 684693 32580 471342 1147555 
690 181918 16705 10 0 0 694422 32982 478207 1164923 
700 184432 16966 10 0 0 704148 33566 485059 1182170 
710 187043 17250 10 0 0 714134 34011 491811 1199106 
720 189583 17534 10 0 0 724106 34552 498576 1216205 
730 192062 17832 10 0 0 733601 35145 505440 1233564 
740 194646 18122 10 0 0 743500 35672 512240 1250545 
750 197204 18425 10 0 0 753563 36230 519055 1267559 
760 199757 18686 10 0 0 763750 36726 525844 1284362 
770 202437 18895 10 0 0 773464 37127 532884 1301496 
780 205057 19132 10 0 0 783647 37581 539748 1318396 
790 207560 19424 10 0 0 793058 38112 546378 1336118 
800 210208 19677 10 0 0 803076 38609 553276 1353066 
810 212821 19933 10 0 0 812878 39178 559986 1370293 
820 215351 20201 10 0 0 823011 39761 566677 1387167 
830 217874 20471 10 0 0 832765 40307 573468 1404327 
840 220225 20848 10 0 0 842266 41021 580058 1421820 
850 222742 21158 11 0 0 851763 41590 586757 1439343 
860 225287 21399 11 0 0 861965 42045 593718 1455997 
870 227815 21680 11 0 0 872075 42590 600561 1472914 
880 230306 21988 11 0 0 881652 43219 607404 1490080 
890 233202 22120 11 0 0 891623 43505 614600 1506862 
900 235907 22343 11 0 0 901420 43945 621533 1523951 
910 238394 22617 11 0 0 911311 44488 628279 1541077 
920 240962 22890 11 0 0 921265 45048 635263 1557806 
930 243530 23184 11 0 0 931227 45541 642209 1574728 
940 246096 23469 13 0 0 941003 46090 649053 1591747 
950 248744 23724 13 0 0 950867 46582 655968 1608670 
960 251481 23989 13 0 0 960844 47130 662821 1625481 
970 253991 24263 13 0 0 970840 47614 669787 1642594 
980 256578 24501 13 0 0 980896 48079 676827 1659461 
990 259196 24791 13 0 0 990901 48604 683823 1676274 
1000 261740 25056 13 0 0 1000848 49137 690526 1693535 
1010 264343 25337 13 0 0 1010478 49664 697346 1710776 
1020 267005 25578 13 0 0 1020373 50107 704411 1727809 
